Unique identification number of the institution,Level of student,Grand total,Grand total men,Grand total women,American Indian or Alaska Native total,American Indian or Alaska Native men,American Indian or Alaska Native women,Asian total,Asian men,Asian women,Black or African American total,Black or African American men,Black or African American women,Hispanic or Latino total,Hispanic or Latino men,Hispanic or Latino women,Native Hawaiian or Other Pacific Islander total,Native Hawaiian or Other Pacific Islander men,Native Hawaiian or Other Pacific Islander women,White total,White men,White women,Two or more races total,Two or more races men,Two or more races women,Race/ethnicity unknown total,Race/ethnicity unknown men,Race/ethnicity unknown women,Nonresident alien total,Nonresident alien men,Nonresident alien women
100654,Total students enrolled for credit,6392,2655,3737,15,4,11,23,14,9,5703,2365,3338,43,19,24,11,5,6,288,117,171,224,82,142,14,5,9,71,44,27
100654,Undergraduate students,5207,2286,2921,11,3,8,12,6,6,4742,2063,2679,36,18,18,10,5,5,137,82,55,210,82,128,11,4,7,38,23,15
100654,Graduate student,1185,369,816,4,1,3,11,8,3,961,302,659,7,1,6,1,0,1,151,35,116,14,0,14,3,1,2,33,21,12
100663,Total students enrolled for credit,23196,9031,14165,62,26,36,1214,522,692,5047,1543,3504,718,284,434,15,7,8,13952,5580,8372,791,300,491,374,156,218,1023,613,410
100663,Undergraduate students,13308,5528,7780,36,15,21,743,326,417,3497,1142,2355,429,186,243,4,1,3,7515,3327,4188,522,210,312,198,89,109,364,232,132
100663,Graduate student,9888,3503,6385,26,11,15,471,196,275,1550,401,1149,289,98,191,11,6,5,6437,2253,4184,269,90,179,176,67,109,659,381,278
100690,Total students enrolled for credit,868,341,527,2,1,1,3,1,2,347,87,260,87,32,55,5,0,5,159,96,63,0,0,0,265,124,141,0,0,0
100690,Undergraduate students,431,177,254,0,0,0,2,1,1,195,56,139,44,19,25,1,0,1,66,37,29,0,0,0,123,64,59,0,0,0
100690,Graduate student,437,164,273,2,1,1,1,0,1,152,31,121,43,13,30,4,0,4,93,59,34,0,0,0,142,60,82,0,0,0
100706,Total students enrolled for credit,9897,5555,4342,113,69,44,375,201,174,1015,420,595,377,197,180,3,2,1,6573,3847,2726,149,69,80,710,352,358,582,398,184
100706,Undergraduate students,7519,4287,3232,90,58,32,304,167,137,813,350,463,313,170,143,3,2,1,5055,3034,2021,129,62,67,595,302,293,217,142,75
100706,Graduate student,2378,1268,1110,23,11,12,71,34,37,202,70,132,64,27,37,0,0,0,1518,813,705,20,7,13,115,50,65,365,256,109
100724,Total students enrolled for credit,5916,2223,3693,9,2,7,31,15,16,5379,1987,3392,63,32,31,2,0,2,212,85,127,70,24,46,54,25,29,96,53,43
100724,Undergraduate students,5229,2024,3205,8,2,6,17,8,9,4867,1854,3013,59,29,30,2,0,2,83,42,41,63,21,42,51,22,29,79,46,33
100724,Graduate student,687,199,488,1,0,1,14,7,7,512,133,379,4,3,1,0,0,0,129,43,86,7,3,4,3,3,0,17,7,10
100751,Total students enrolled for credit,41834,18459,23375,164,76,88,542,231,311,4743,1620,3123,1729,733,996,42,19,23,31597,14203,17394,1150,441,709,201,98,103,1666,1038,628
100751,Undergraduate students,35625,15883,19742,134,63,71,451,202,249,3909,1411,2498,1527,648,879,33,15,18,27372,12423,14949,1036,404,632,133,71,62,1030,646,384
100751,Graduate student,6209,2576,3633,30,13,17,91,29,62,834,209,625,202,85,117,9,4,5,4225,1780,2445,114,37,77,68,27,41,636,392,244
100760,Total students enrolled for credit,2419,1051,1368,11,6,5,5,0,5,616,199,417,26,18,8,1,0,1,1726,812,914,18,7,11,13,6,7,3,3,0
100760,Undergraduate students,2419,1051,1368,11,6,5,5,0,5,616,199,417,26,18,8,1,0,1,1726,812,914,18,7,11,13,6,7,3,3,0
100812,Total students enrolled for credit,4113,1454,2659,56,18,38,34,13,21,601,201,400,100,37,63,4,0,4,3111,1109,2002,73,18,55,130,55,75,4,3,1
100812,Undergraduate students,4070,1428,2642,56,18,38,33,12,21,596,198,398,100,37,63,4,0,4,3076,1088,1988,71,17,54,130,55,75,4,3,1
100812,Graduate student,43,26,17,0,0,0,1,1,0,5,3,2,0,0,0,0,0,0,35,21,14,2,1,1,0,0,0,0,0,0
100830,Total students enrolled for credit,5775,2046,3729,27,12,15,142,54,88,2001,543,1458,76,31,45,4,1,3,2907,1153,1754,162,55,107,188,52,136,268,145,123
100830,Undergraduate students,5004,1795,3209,27,12,15,133,51,82,1794,485,1309,72,29,43,4,1,3,2578,1036,1542,157,54,103,33,16,17,206,111,95
100830,Graduate student,771,251,520,0,0,0,9,3,6,207,58,149,4,2,2,0,0,0,329,117,212,5,1,4,155,36,119,62,34,28
100858,Total students enrolled for credit,30392,15498,14894,141,59,82,751,399,352,2139,997,1142,976,449,527,14,7,7,23179,11559,11620,402,181,221,169,101,68,2621,1746,875
100858,Undergraduate students,23846,12374,11472,113,46,67,586,331,255,1636,808,828,775,353,422,8,5,3,19001,9718,9283,314,144,170,135,78,57,1278,891,387
100858,Graduate student,6546,3124,3422,28,13,15,165,68,97,503,189,314,201,96,105,6,2,4,4178,1841,2337,88,37,51,34,23,11,1343,855,488
100937,Total students enrolled for credit,1325,649,676,9,3,6,64,25,39,157,79,78,30,13,17,0,0,0,1047,522,525,15,6,9,3,1,2,0,0,0
100937,Undergraduate students,1325,649,676,9,3,6,64,25,39,157,79,78,30,13,17,0,0,0,1047,522,525,15,6,9,3,1,2,0,0,0
101028,Total students enrolled for credit,2149,863,1286,10,4,6,21,9,12,885,323,562,126,55,71,7,5,2,1027,430,597,53,25,28,20,12,8,0,0,0
101028,Undergraduate students,2149,863,1286,10,4,6,21,9,12,885,323,562,126,55,71,7,5,2,1027,430,597,53,25,28,20,12,8,0,0,0
101073,Total students enrolled for credit,345,178,167,0,0,0,0,0,0,316,159,157,1,1,0,0,0,0,15,8,7,0,0,0,1,1,0,12,9,3
101073,Undergraduate students,345,178,167,0,0,0,0,0,0,316,159,157,1,1,0,0,0,0,15,8,7,0,0,0,1,1,0,12,9,3
101116,Total students enrolled for credit,818,210,608,5,0,5,10,4,6,546,139,407,16,5,11,5,0,5,223,56,167,0,0,0,13,6,7,0,0,0
101116,Undergraduate students,643,170,473,2,0,2,8,4,4,421,104,317,16,5,11,5,0,5,179,52,127,0,0,0,12,5,7,0,0,0
101116,Graduate student,175,40,135,3,0,3,2,0,2,125,35,90,0,0,0,0,0,0,44,4,40,0,0,0,1,1,0,0,0,0
101143,Total students enrolled for credit,2458,1252,1206,19,10,9,44,35,9,569,261,308,126,67,59,7,2,5,1615,836,779,65,35,30,13,6,7,0,0,0
101143,Undergraduate students,2458,1252,1206,19,10,9,44,35,9,569,261,308,126,67,59,7,2,5,1615,836,779,65,35,30,13,6,7,0,0,0
101161,Total students enrolled for credit,7048,2677,4371,114,46,68,91,35,56,1293,423,870,204,71,133,8,3,5,5170,2033,3137,141,50,91,16,8,8,11,8,3
101161,Undergraduate students,7048,2677,4371,114,46,68,91,35,56,1293,423,870,204,71,133,8,3,5,5170,2033,3137,141,50,91,16,8,8,11,8,3
101189,Total students enrolled for credit,4105,1638,2467,29,14,15,29,17,12,1902,517,1385,86,46,40,8,5,3,1844,912,932,67,30,37,72,40,32,68,57,11
101189,Undergraduate students,3143,1235,1908,15,7,8,20,14,6,1494,417,1077,66,37,29,8,5,3,1370,643,727,60,28,32,49,30,19,61,54,7
101189,Graduate student,962,403,559,14,7,7,9,3,6,408,100,308,20,9,11,0,0,0,474,269,205,7,2,5,23,10,13,7,3,4
101240,Total students enrolled for credit,7080,2833,4247,59,21,38,46,22,24,1405,545,860,246,94,152,7,2,5,4953,1992,2961,161,53,108,27,16,11,176,88,88
101240,Undergraduate students,7080,2833,4247,59,21,38,46,22,24,1405,545,860,246,94,152,7,2,5,4953,1992,2961,161,53,108,27,16,11,176,88,88
101277,Total students enrolled for credit,118,5,113,0,0,0,0,0,0,2,0,2,10,1,9,0,0,0,106,4,102,0,0,0,0,0,0,0,0,0
101277,Undergraduate students,118,5,113,0,0,0,0,0,0,2,0,2,10,1,9,0,0,0,106,4,102,0,0,0,0,0,0,0,0,0
101286,Total students enrolled for credit,6098,2167,3931,24,13,11,48,20,28,1694,486,1208,170,62,108,8,3,5,4042,1548,2494,98,31,67,12,2,10,2,2,0
101286,Undergraduate students,6098,2167,3931,24,13,11,48,20,28,1694,486,1208,170,62,108,8,3,5,4042,1548,2494,98,31,67,12,2,10,2,2,0
101295,Total students enrolled for credit,7270,2728,4542,73,23,50,49,15,34,427,132,295,256,117,139,2,1,1,6206,2326,3880,40,18,22,148,62,86,69,34,35
